State,Days with AQI,Good Days,Moderate Days,Unhealthy for Sensitive Groups Days,Unhealthy Days,Very Unhealthy Days,Hazardous Days,Max AQI,Median AQI
Arizona,271.6923076923077,168.6153846153846,87.53846153846153,9.384615384615385,3.076923076923077,3.0,0.07692307692307693,152.92307692307693,47.46153846153846
Utah,298.5,189.21428571428572,97.64285714285714,10.5,1.1428571428571428,0.0,0.0,144.07142857142858,46.785714285714285
District Of Columbia,274.0,174.0,90.0,9.0,1.0,0.0,0.0,153.0,45.0
California,226.09803921568627,144.11764705882354,67.6470588235294,10.313725490196079,3.0588235294117645,0.6274509803921569,0.3333333333333333,212.2941176470588,44.76470588235294
New Mexico,194.45454545454547,131.63636363636363,57.90909090909091,4.181818181818182,0.36363636363636365,0.09090909090909091,0.2727272727272727,198.8181818181818,42.81818181818182
Oklahoma,253.55,187.25,63.1,3.0,0.2,0.0,0.0,122.7,40.6
Missouri,245.0909090909091,200.86363636363637,37.5,4.409090909090909,2.3181818181818183,0.0,0.0,113.04545454545455,40.40909090909091
Maryland,269.9375,220.75,46.75,2.4375,0.0,0.0,0.0,110.625,39.6875
Connecticut,172.0,143.625,25.375,2.625,0.375,0.0,0.0,130.75,39.625
Delaware,149.33333333333334,122.66666666666667,26.333333333333332,0.3333333333333333,0.0,0.0,0.0,100.33333333333333,39.333333333333336
Colorado,215.64,142.56,60.0,11.96,1.08,0.0,0.04,136.04,39.2
New Jersey,175.8125,145.6875,29.1875,0.9375,0.0,0.0,0.0,106.1875,39.0625
Pennsylvania,234.21951219512195,180.3658536585366,51.707317073170735,2.0,0.14634146341463414,0.0,0.0,122.1219512195122,39.02439024390244
Vermont,181.66666666666666,156.33333333333334,25.333333333333332,0.0,0.0,0.0,0.0,84.0,39.0
Rhode Island,242.33333333333334,200.66666666666666,38.666666666666664,3.0,0.0,0.0,0.0,139.66666666666666,38.666666666666664
South Carolina,218.0,180.92857142857142,36.785714285714285,0.2857142857142857,0.0,0.0,0.0,90.71428571428571,38.285714285714285
Iowa,241.1875,181.1875,58.9375,0.875,0.1875,0.0,0.0,106.3125,38.1875
New Hampshire,189.71428571428572,169.71428571428572,19.571428571428573,0.42857142857142855,0.0,0.0,0.0,94.28571428571429,38.142857142857146
Wisconsin,157.9,123.1,33.4,1.4,0.0,0.0,0.0,100.1,37.8
Mississippi,202.0,174.7,27.2,0.1,0.0,0.0,0.0,81.4,37.8
Alabama,207.42857142857142,172.78571428571428,34.142857142857146,0.42857142857142855,0.0,0.07142857142857142,0.0,97.64285714285714,37.785714285714285
